pid,event_type,prompt,run,response_number,response,corpus_response,response_onset_time_audacity_sec,response_onset_time_fMRI_sec,response_onset_time_task_relative_sec,subjSwitch_semantic,subjSwitch_phonetic,RT,frequency_ln,similarity_semantic_context,similarity_semantic_complete,phonetic_similarity,objSwitch_simDropContext,objSwitch_simDropComplete,objSwitch_chain,deltaSim_f1r0_context,subj_delta_sim_intersection,Troyer_fluid_switch,Troyer_static_switch,all_categories,running_categories_static
50002,category,foods,3,16,milkshake,milkshake,62.9,56.584,36.584,1,,1.9,6.894670039,0.170112231,0.462992519,,0,0,,0,0,,,,
50002,category,foods,3,17,lemon_square,lemon_square,65.8,59.484,39.484,1,,2.9,2.302585093,0.027763526,0.077679488,,1,1,,0,0,,,,
50002,category,foods,3,18,lasagna,lasagna,68.25,61.934,41.934,1,,2.45,7.626082758,0.214549416,0.136984185,,0,0,,0,0,,,,
50002,category,foods,3,19,latkes,latkes,71.3,64.984,44.984,0,,3.05,4.110873864,0.256841945,0.297576911,,0,0,,0,0,,,,
50002,category,foods,3,20,pierogies,pierogies,74.35,68.034,48.034,1,,3.05,2.833213344,0.199180335,0.142159905,,0,0,,0,0,,,,
50002,category,foods,3,21,strudel,strudel,77.2,70.884,50.884,1,,2.85,6.131226489,0.03404526,0.067866534,,1,1,,1,1,,,,
50002,category,foods,3,22,eggplant,eggplant,80.4,74.084,54.084,1,,3.2,7.655390645,0.10892046,0.398732059,,0,0,,0,0,,,,
50002,category,foods,3,23,chicken,chicken,84.45,78.134,58.134,1,,4.05,10.6803093,0.339816207,0.546474625,,0,0,,0,0,,,,
50002,category,foods,3,24,beef,beef,85.85,79.534,59.534,1,,1.4,9.854717388,0.485733217,0.689504674,,0,0,,0,0,,,,
50002,category,foods,3,25,pork,pork,87.1,80.784,60.784,1,,1.25,9.213634939,0.525138411,0.697735143,,0,0,,0,0,,,,
50002,category,foods,3,26,meat_bun,meat_bun,96.1,89.784,69.784,1,,9,1.098612289,0.050968556,0.092262145,,1,0,,1,1,,,,
50002,category,foods,3,27,sausage,sausage,100.4,94.084,74.084,1,,4.3,9.258177701,0.055924409,0.082400949,,0,1,,0,0,,,,
50002,category,foods,3,28,bacon,bacon,102,95.684,75.684,1,,1.6,10.09786119,0.615894643,0.771243675,,0,0,,0,0,,,,
50002,category,foods,3,29,taco_bell,taco_bell,106.3,99.984,79.984,1,,4.3,5.713732806,0.047600466,0.278305334,,0,0,,1,1,,,,
50002,category,foods,3,30,milanesa,meat_fillet,109.65,103.334,83.334,0,,3.35,0,0.01832354,0.00114166,,1,0,,1,0,,,,
50002,category,foods,3,31,nachos,nachos,112.55,106.234,86.234,0,,2.9,6.461468176,0.039492083,0.000683,,0,1,,0,0,,,,
50002,category,foods,3,32,apple_pie,apple_pie,116.9,110.584,90.584,1,,4.35,7.9686657,0.214960105,0.493330249,,0,0,,0,0,,,,
50002,category,foods,3,33,angel_food_cake,angel_food_cake,119.8,113.484,93.484,0,,2.9,4.465908119,0.386910296,0.384828128,,0,0,,0,0,,,,
50002,category,foods,3,34,minestrone,minestrone,124.15,117.834,97.834,1,,4.35,5.351858133,0.017401108,0.116673196,,1,1,,1,1,,,,
50002,category,foods,3,35,baked_potato,baked_potato,126.05,119.734,99.734,1,,1.9,6.499787041,0.074833934,0.184714414,,0,0,,0,0,,,,
50002,category,foods,3,36,asparagus,asparagus,127.45,121.134,101.134,0,,1.4,7.696667082,0.284410362,0.494671994,,0,0,,0,0,,,,
50002,category,foods,3,37,lettuce,lettuce,129.5,123.184,103.184,0,,2.05,8.490438454,0.36435022,0.595661142,,0,0,,0,0,,,,
50002,category,foods,3,38,brussels_sprouts,brussels_sprouts,130.55,124.234,104.234,0,,1.05,6.251903883,0.271650309,0.478910574,,1,0,,0,0,,,,
50002,category,foods,3,39,kohlrabi,kohlrabi,134.5,128.184,108.184,0,,3.95,3.63758616,0.339391734,0.256385499,,0,0,,0,0,,,,
50002,category,foods,3,40,artichoke,artichoke,139.3,132.984,112.984,0,,4.8,6.386879319,0.027466781,0.038277971,,1,1,,1,0,,,,
50002,category,foods,3,41,oxtail,oxtail,144.25,137.934,117.934,1,,4.95,5.424950017,0.050327546,0.178692635,,0,0,,0,0,,,,
50002,category,foods,3,42,menudo,menudo,147.35,141.034,121.034,0,,3.1,4.941642423,0.024337144,0.139569555,,0,0,,0,0,,,,
50002,category,foods,3,43,chicken_barbecue,chicken_barbecue,150.5,144.184,124.184,0,,3.15,1.791759469,0.000352,0.0001,,0,1,,0,0,,,,
50002,category,foods,3,44,ribs,ribs,152.7,146.384,126.384,0,,2.2,10.70991877,0.0001,0.057715785,,1,0,,0,0,,,,
50002,category,foods,3,45,fried_chicken,fried_chicken,155.3,148.984,128.984,0,,2.6,7.793586803,0.089975883,0.427130765,,0,0,,0,0,,,,
50002,category,foods,3,46,waffles,waffles,157.2,150.884,130.884,1,,1.9,7.340186835,0.250232047,0.494013329,,0,0,,0,0,,,,
50002,category,foods,3,47,french_fries,french_fries,158.55,152.234,132.234,0,,1.35,7.486052618,0.329585294,0.540209714,,0,0,,0,0,,,,
50002,category,foods,3,48,hot_dog,hot_dog,160.6,154.284,134.284,0,,2.05,7.832410927,0.26884464,0.490540696,,1,0,,0,0,,,,
50002,category,foods,3,49,corn_dog,corn_dog,161.55,155.234,135.234,0,,0.95,4.663439094,0.386503708,0.430594111,,0,0,,0,0,,,,
50002,category,foods,3,50,plantains,plantains,168.25,161.934,141.934,1,,6.7,5.641907071,0.004384109,0.104500296,,1,1,,1,1,,,,
50002,category,foods,3,51,cassava,cassava,171.5,165.184,145.184,0,,3.25,5.429345629,0.362112507,0.277670647,,0,0,,0,0,,,,
50002,category,foods,3,52,dumplings,dumplings,179,172.684,152.684,0,,7.5,7.383368147,0.094961193,0.221992456,,1,1,,1,0,,,,
50002,category,foods,3,53,rye_bread,rye_bread,183.6,177.284,157.284,1,,4.6,6.135564891,0.119777461,0.345181102,,0,0,,0,0,,,,
50002,category,foods,3,54,pickle,pickle,184.7,178.384,158.384,1,,1.1,8.176953868,0.252388838,0.386917677,,0,0,,0,0,,,,
50002,category,foods,3,55,sushi,sushi,191.8,185.484,165.484,1,,7.1,7.483806688,0.157271657,0.433796438,,1,0,,0,0,,,,
50002,category,foods,3,56,tempura,tempura,193.2,186.884,166.884,1,,1.4,4.912654886,0.227100424,0.309197508,,0,0,,0,0,,,,
50002,category,foods,3,57,tonkatsu,pork_cutlet,197.2,190.884,170.884,0,,4,2.397895273,0.013367954,0.059776156,,1,0,,1,0,,,,
50002,category,foods,3,58,kimchi,kimchi,201.1,194.784,174.784,1,,3.9,4.143134726,0.015881764,0.028873051,,0,0,,0,0,,,,
50003,category,foods,2,1,french_fries,french_fries,332.3,314.572,4.572,2,,4.572,7.486052618,0,0,,2,2,,2,2,,,,
50003,category,foods,2,2,rotisserie_chicken,rotisserie_chicken,334.2,316.472,6.472,0,,1.9,4.094344562,0.231732257,0.355633429,,0,0,,1,0,,,,
50003,category,foods,2,3,beef,beef,336.4,318.672,8.672,0,,2.2,9.854717388,0.207055725,0.355128898,,1,1,,1,0,,,,
50003,category,foods,2,4,hamburger,hamburger,337.6,319.872,9.872,0,,1.2,8.491259809,0.308400334,0.602849186,,0,0,,0,0,,,,
50003,category,foods,2,5,salad,salad,339.3,321.572,11.572,1,,1.7,9.964394487,0.323226238,0.611800916,,0,0,,0,0,,,,
50003,category,foods,2,6,apple,apple,343.1,325.372,15.372,0,,3.8,10.46743679,0.192799005,0.510253233,,1,1,,0,0,,,,
50003,category,foods,2,7,orange,orange,344.5,326.772,16.772,0,,1.4,11.19445423,0.319844157,0.595290058,,0,0,,0,0,,,,
50003,category,foods,2,8,banana,banana,345.1,327.372,17.372,0,,0.6,8.893435441,0.207986991,0.513354933,,1,0,,0,0,,,,
50003,category,foods,2,9,kiwi,kiwi,349.4,331.672,21.672,0,,4.3,6.725033642,0.264987004,0.445252957,,0,0,,0,0,,,,
50003,category,foods,2,10,peppers,peppers,351,333.272,23.272,0,,1.6,7.820439515,0.071425805,0.301918261,,1,1,,1,0,,,,
50003,category,foods,2,11,pizza,pizza,359.8,342.072,32.072,1,,8.8,9.951944328,0.112304089,0.423480148,,0,0,,0,0,,,,
50003,category,foods,2,12,steak,steak,362.5,344.772,34.772,0,,2.7,9.583970757,0.36652424,0.63245896,,0,0,,0,0,,,,
50003,category,foods,2,13,tater_tots,tater_tots,366.5,348.772,38.772,0,,4,4.290459441,0.099821767,0.312715902,,0,0,,1,0,,,,
50003,category,foods,2,14,fish,fish,373,355.272,45.272,0,,6.5,11.65383458,0.055328444,0.303194288,,1,1,,1,0,,,,
50003,category,foods,2,15,cod,cod,374.3,356.572,46.572,0,,1.3,8.384575667,0.151640492,0.517926439,,0,0,,0,0,,,,
50003,category,foods,2,16,sushi,sushi,381.6,363.872,53.872,0,,7.3,7.483806688,0.055655968,0.341388498,,1,1,,0,0,,,,
50003,category,foods,2,17,veal,veal,391.4,373.672,63.672,0,,9.8,7.671826798,0.233268576,0.430871188,,0,0,,0,0,,,,
50003,category,foods,2,18,lamb,lamb,392.5,374.772,64.772,0,,1.1,9.740497924,0.449080433,0.600320815,,0,0,,0,0,,,,
50003,category,foods,2,19,biscuit,biscuit,404,386.272,76.272,0,,11.5,9.11018849,0.190018178,0.517605409,,1,1,,1,0,,,,
50003,category,foods,2,20,turkey,turkey,405.8,388.072,78.072,0,,1.8,9.715892113,0.239076062,0.526580001,,0,0,,0,0,,,,
50003,category,foods,2,21,mashed_potatoes,mashed_potatoes,407.7,389.972,79.972,0,,1.9,7.851271997,0.182902432,0.455738827,,0,0,,0,0,,,,
50003,category,foods,2,22,blueberries,blueberries,412.3,394.572,84.572,0,,4.6,6.895682698,0.130138804,0.450179048,,1,1,,0,0,,,,
50003,category,foods,2,23,cranberries,cranberries,413.5,395.772,85.772,0,,1.2,5.955837369,0.307692819,0.531459633,,0,0,,0,0,,,,
50003,category,foods,2,24,chicken_nuggets,chicken_nuggets,424.9,407.172,97.172,0,,11.4,5.056245805,0.11489469,0.285319861,,1,1,,1,0,,,,
50003,category,foods,2,25,pasta,pasta,428.2,410.472,100.472,0,,3.3,8.745284482,0.325409093,0.442670783,,0,0,,0,0,,,,
50003,category,foods,2,26,corn,corn,445.4,427.672,117.672,1,,17.2,10.06539379,0.29056673,0.546034929,,1,0,,0,0,,,,
50003,category,foods,2,27,green_beans,green_beans,447,429.272,119.272,0,,1.6,7.21964204,0.296542542,0.52502749,,0,1,,0,0,,,,
50003,category,foods,2,28,broccoli,broccoli,448.7,430.972,120.972,0,,1.7,7.473637108,0.595222887,0.683750941,,0,0,,0,0,,,,
50003,category,foods,2,29,cauliflower,cauliflower,450.8,433.072,123.072,0,,2.1,7.036148494,0.336140115,0.518176742,,0,0,,1,0,,,,
50003,category,foods,2,30,peanuts,peanuts,456.6,438.872,128.872,0,,5.8,8.256607345,0.157512505,0.430475514,,1,1,,1,0,,,,
50003,category,foods,2,31,walnuts,walnuts,457.5,439.772,129.772,0,,0.9,7.253470383,0.359212475,0.578795445,,0,0,,0,0,,,,
50003,category,foods,2,32,pistachios,pistachios,458.8,441.072,131.072,0,,1.3,5.513428746,0.581301444,0.579278554,,0,0,,0,0,,,,
50003,category,foods,2,33,pecans,pecans,460.4,442.672,132.672,0,,1.6,6.184148891,0.605559716,0.558357636,,0,0,,0,0,,,,
50003,category,foods,2,34,hot_dog,hot_dog,465,447.272,137.272,1,,4.6,7.832410927,0.099009617,0.351598609,,1,1,,1,1,,,,
50003,category,foods,2,35,popcorn,popcorn,467.4,449.672,139.672,0,,2.4,8.814033202,0.292396777,0.557497442,,0,0,,0,0,,,,
50003,category,foods,2,36,breadsticks,breadsticks,473.5,455.772,145.772,0,,6.1,5.278114659,0.264159086,0.422063538,,1,1,,0,0,,,,
50003,category,foods,2,37,garlic_bread,garlic_bread,480.4,462.672,152.672,0,,6.9,6.630683386,0.409992558,0.479560518,,0,0,,0,0,,,,
50003,category,foods,2,38,escargot,escargot,495.4,477.672,167.672,0,,15,4.65396035,0.066535217,0.176998145,,0,0,,1,0,,,,
50003,category,foods,2,39,sub_sandwich,sub_sandwich,501.2,483.472,173.472,0,,5.8,3.555348061,0.000666,0.051335239,,1,1,,1,0,,,,
50003,category,foods,2,40,potato_chips,potato_chips,506.7,488.972,178.972,0,,5.5,7.33432935,0.161936974,0.200477557,,0,0,,0,0,,,,
50004,category,foods,4,1,fettuccine_alfredo,fettuccine_alfredo,320.8,312.568,2.568,2,,2.568,3.988984047,0,0,,2,2,,2,2,,,,
50004,category,foods,4,2,pizza,pizza,322.8,314.568,4.568,0,,2,9.951944328,0.218469318,0.26377769,,0,0,,0,0,,,,
50004,category,foods,4,3,curry,curry,324.3,316.068,6.068,1,,1.5,8.612503371,0.185707419,0.505785056,,1,0,,0,0,,,,
50004,category,foods,4,4,tofu,tofu,325.7,317.468,7.468,0,,1.4,7.160845907,0.199866865,0.41914269,,0,1,,0,0,,,,
50004,category,foods,4,5,carrots,carrots,327.2,318.968,8.968,0,,1.5,8.750999691,0.157466053,0.428589372,,0,0,,0,0,,,,
50004,category,foods,4,6,poutine,poutine,332.2,323.968,13.968,1,,5,3.828641396,0.033934304,0.120114893,,1,1,,1,1,,,,
50004,category,foods,4,7,burger,burger,336,327.768,17.768,0,,3.8,8.939843124,0.102285319,0.151750905,,0,0,,0,0,,,,
50004,category,foods,4,8,soup,soup,337.8,329.568,19.568,1,,1.8,10.50998693,0.11170277,0.502939731,,0,0,,0,0,,,,
50004,category,foods,4,9,french_fries,french_fries,339.6,331.368,21.368,1,,1.8,7.486052618,0.306948649,0.581679672,,0,0,,0,0,,,,
50004,category,foods,4,10,pho,pho,344,335.768,25.768,1,,4.4,5.796057751,0.078960175,0.173624041,,1,1,,1,1,,,,
50004,category,foods,4,11,burrito,burrito,347.4,339.168,29.168,1,,3.4,6.745236349,0.128057183,0.241733544,,0,0,,0,0,,,,
50004,category,foods,4,12,nachos,nachos,348.9,340.668,30.668,0,,1.5,6.461468176,0.299177153,0.491778233,,0,0,,0,0,,,,
50004,category,foods,4,13,energy_bar,energy_bar,355,346.768,36.768,1,,6.1,5.257495372,0.16463173,0.363517158,,0,0,,1,1,,,,
50004,category,foods,4,14,linguine,linguine,360.9,352.668,42.668,1,,5.9,5.236441963,0.067429274,0.236055849,,1,1,,1,1,,,,
50004,category,foods,4,15,baked_potato,baked_potato,366.7,358.468,48.468,1,,5.8,6.499787041,0.200167137,0.325561258,,0,0,,0,0,,,,
50004,category,foods,4,16,sweet_potatoes,sweet_potatoes,368.2,359.968,49.968,0,,1.5,6.629363253,0.239606239,0.443106732,,0,0,,0,0,,,,
50004,category,foods,4,17,bread,bread,370.6,362.368,52.368,1,,2.4,11.3021427,0.278149648,0.531197863,,0,0,,0,0,,,,
50004,category,foods,4,18,tater_tots,tater_tots,374.5,366.268,56.268,1,,3.9,4.290459441,0.138496548,0.346259759,,0,0,,1,1,,,,
50004,category,foods,4,19,egg_roll,egg_roll,382.8,374.568,64.568,1,,8.3,5.393627546,0.09619907,0.246477524,,1,1,,1,1,,,,
50004,category,foods,4,20,ice_cream,ice_cream,385.4,377.168,67.168,1,,2.6,9.956696511,0.21372592,0.42914441,,0,0,,0,0,,,,
50004,category,foods,4,21,scrambled_eggs,scrambled_eggs,388.9,380.668,70.668,1,,3.5,8.025843344,0.119026505,0.42331616,,1,1,,1,1,,,,
50004,category,foods,4,22,croissant,croissant,393.6,385.368,75.368,1,,4.7,7.24636808,0.252699433,0.500968775,,0,0,,0,0,,,,
50004,category,foods,4,23,cake,cake,396.6,388.368,78.368,0,,3,10.67209001,0.486135528,0.677271002,,0,0,,0,0,,,,
50004,category,foods,4,24,tart,tart,400.5,392.268,82.268,0,,3.9,8.814181823,0.265031177,0.598408444,,1,0,,1,0,,,,
50004,category,foods,4,25,torte,torte,401.7,393.468,83.468,0,,1.2,6.762729507,0.283156058,0.52287606,,0,0,,0,0,,,,
50004,category,foods,4,26,souffle,souffle,402.7,394.468,84.468,0,,1,6.146329258,0.118981316,0.294810348,,0,0,,1,0,,,,
50004,category,foods,4,27,stir_fry,stir_fry,406.7,398.468,88.468,1,,4,6.224558429,0.056325194,0.272028541,,1,1,,1,1,,,,
50004,category,foods,4,28,spinach,spinach,409.3,401.068,91.068,1,,2.6,7.763446389,0.267978126,0.417561583,,0,0,,0,0,,,,
50004,category,foods,4,29,creme_brulee,creme_brulee,415.6,407.368,97.368,1,,6.3,3.555348061,0.14406913,0.195545712,,0,0,,1,1,,,,
50004,category,foods,4,30,caviar,caviar,417.3,409.068,99.068,0,,1.7,7.771067086,0.115149985,0.191666708,,0,0,,1,0,,,,
50004,category,foods,4,31,trout_almondine,trout_almondine,420.9,412.668,102.668,0,,3.6,1.791759469,0.112884627,0.141633886,,0,0,,1,0,,,,
50004,category,foods,4,32,lake_fish,lake_fish,424.8,416.568,106.568,1,,3.9,3.36729583,0.097546825,0.106847362,,0,1,,1,1,,,,
50004,category,foods,4,33,cheese,cheese,427.1,418.868,108.868,1,,2.3,10.49971075,0.065967132,0.128443357,,1,0,,1,1,,,,
50004,category,foods,4,34,fondue,fondue,428.8,420.568,110.568,0,,1.7,5.620400866,0.153969986,0.331587803,,0,0,,0,0,,,,
50004,category,foods,4,35,bananas_foster,bananas_foster,431.9,423.668,113.668,0,,3.1,3.784189634,0.091253687,0.119368356,,1,1,,0,0,,,,
50004,category,foods,4,36,salad,salad,442.7,434.468,124.468,1,,10.8,9.964394487,0.156787275,0.257611208,,0,0,,0,0,,,,
50004,category,foods,4,37,kale,kale,445.5,437.268,127.268,0,,2.8,7.781973234,0.278278878,0.515144115,,0,0,,0,0,,,,
50004,category,foods,4,38,foul_halabi,fava_beans,450.6,442.368,132.368,1,,5.1,4.025351691,0.186178805,0.298735715,,0,0,,0,0,,,,
50004,category,foods,4,39,pita_bread,pita_bread,453.5,445.268,135.268,0,,2.9,4.934473933,0.109175785,0.166018902,,0,1,,0,0,,,,
50004,category,foods,4,40,naan,naan,455.4,447.168,137.168,0,,1.9,4.941642423,0.103492326,0.197800998,,0,0,,0,0,,,,
50004,category,foods,4,41,palak_paneer,palak_paneer,458.4,450.168,140.168,0,,3,0.693147181,0.0001,0.031398464,,1,1,,1,0,,,,
50004,category,foods,4,42,jerky,jerky,472.1,463.868,153.868,1,,13.7,8.83287946,0.023018136,0.064323108,,0,0,,0,0,,,,
50004,category,foods,4,43,apple,apple,475.8,467.568,157.568,1,,3.7,10.46743679,0.089235136,0.467588816,,0,0,,0,0,,,,
50004,category,foods,4,44,huevos_rancheros,huevos_rancheros,490.8,482.568,172.568,1,,15,4.406719247,0.056663969,0.167816924,,1,1,,0,0,,,,
50004,category,foods,4,45,easter_pudding,pudding,493,484.768,174.768,0,,2.2,9.209840247,0.138268279,0.271209277,,0,0,,0,0,,,,
50004,category,foods,4,46,dressing,dressing,497.2,488.968,178.968,0,,4.2,10.86883508,0.067647124,0.262982258,,0,0,,0,0,,,,
50006,category,foods,1,1,bread,bread,29.4,23.201,3.201,2,,3.201,11.3021427,0,0,,2,2,,2,2,,,,
50006,category,foods,1,2,pasta,pasta,30.5,24.301,4.301,0,,1.1,8.745284482,0.321435222,0.563972916,,0,0,,0,0,,,,
50006,category,foods,1,3,cereal,cereal,33.2,27.001,7.001,0,,2.7,8.815073089,0.239759149,0.542761496,,0,0,,0,0,,,,
50006,category,foods,1,4,banana,banana,35.2,29.001,9.001,1,,2,8.893435441,0.187571072,0.494886893,,1,1,,0,0,,,,
50006,category,foods,1,5,apple,apple,36,29.801,9.801,0,,0.8,10.46743679,0.446216976,0.678280641,,0,0,,0,0,,,,
50006,category,foods,1,6,orange,orange,37.1,30.901,10.901,0,,1.1,11.19445423,0.319844157,0.595290058,,0,0,,0,0,,,,
50006,category,foods,1,7,grapes,grapes,38.3,32.101,12.101,0,,1.2,8.938794081,0.205227924,0.521722158,,1,1,,0,0,,,,
50006,category,foods,1,8,asparagus,asparagus,39.9,33.701,13.701,1,,1.6,7.696667082,0.254297405,0.550961793,,0,0,,0,0,,,,
50006,category,foods,1,9,celery,celery,42,35.801,15.801,1,,2.1,7.773594467,0.347960203,0.582752214,,0,0,,0,0,,,,
50006,category,foods,1,10,chicken,chicken,43.6,37.401,17.401,1,,1.6,10.6803093,0.176358761,0.479560498,,1,1,,1,1,,,,
